	X107.0_1	X107.0_2	X107.0_3	X107.15_1	X107.15_2	X107.15_3	X90.0_1	X90.0_2	X90.0_3	X90.15_1	X90.15_2	X90.15_3
Ciclev10000001m	273.910501276309	306.54470386799	289.042917355182	222.695796257753	275.202723951274	271.507887068221	170.880343391105	305.876318416558	225.062332094594	273.59060869061	246.615388419796	255.132696066951
Ciclev10000003m	106.586576479346	162.04781177235	135.307606135368	87.5251700551578	131.747706702414	135.697777235586	20.5761881376904	144.722472969818	70.2310720668208	134.983446009606	121.125752252463	120.374791941065
Ciclev10000002m	83.3528664782899	94.229694963312	99.222155788948	72.2856307727054	81.2498142071397	92.0565632819226	52.5835919074309	95.7156172956397	78.2497921725344	93.2574143374695	85.207630799308	84.2365781720343
Ciclev10000004m	48.7341234168493	54.072736350255	48.6101301252632	42.6823877987461	50.8215969343463	49.5386752987528	32.5952948593889	50.5006168084437	37.0260364612818	41.0332623084866	44.5899420532163	37.581680224855
Ciclev10000005m	69.9071939499625	83.2106709591635	64.4199718133108	51.207187550616	68.5713903434758	63.5802499299185	46.704681010948	72.7346767684753	52.9020259323256	65.0137402809787	60.9265331191375	56.5014012708382
Ciclev10000006m	29.982304258569	34.8178438893974	37.4713780268661	26.6837910041408	31.2914291103194	29.5434730239727	17.5060902250826	37.9760042211392	22.8721882209953	32.2937103362894	30.2674512556964	27.8382816480407
Ciclev10000007m	120.547408874659	137.624201866248	119.446433792489	128.047163396238	137.304632906488	136.877269504604	76.2298779577291	118.868914876758	85.6765262301753	148.146063918952	119.16759921374	119.034430232085
Ciclev10000008m	25.294349468999	29.3083318873231	29.3098039086856	22.9468924827732	26.813517703153	27.1283221874122	25.0180319261442	33.6670778722958	27.661893519039	30.8015917068899	28.9247177434289	25.5184248440373
Ciclev10000025m	24.2640297350275	27.6611581959813	27.9752068830712	22.129445931224	25.5186999468639	25.3871669331477	24.1688559077633	31.4838885222152	26.6393721632769	29.3094730774904	27.9736148389061	24.2811678819022
Ciclev10000009m	52.3402424857494	57.5374810113533	58.1063012690581	48.6964588565721	50.1202373163564	54.2566443748244	31.0929065191765	51.649663834802	46.228728663141	54.1958802178323	50.0727705616419	50.7275354475408
Ciclev10000010m	43.5310087602935	61.8542120645249	49.1747673284078	27.6764046738791	43.8619514942925	37.4629211159502	22.6011463353678	40.6188123817631	25.9397522882817	29.6825027348403	31.4423430789305	23.9203012679461
Ciclev10000011m	28.4368246576119	29.5923273513475	33.3649256403602	24.4650075070788	32.1006902080001	28.9818100387261	15.3504895630388	32.9776496564809	23.4641742690681	32.4535801894394	34.1278101034654	28.7662243696421
Ciclev10000012m	29.3641124181862	30.2171173722013	34.0835548079987	24.3482294282861	32.1546409478454	29.4311404269234	16.0037018848703	33.8394349262496	24.3252448844468	33.0397696509892	34.7991768595992	28.7146719962198
Ciclev10000013m	99.2197903814501	110.758230969535	111.028206400152	101.013038155719	108.387036349365	107.951625764402	73.2251012773044	109.848895719846	97.7315148454763	122.62017736601	113.79666516467	102.589223110372
Ciclev10000017m	72.4829932848911	90.1969593741649	88.5453795840328	75.0883046637311	87.0764941104405	88.1249223851962	38.9314543811538	84.3400517346933	66.6791557783839	96.4015214494185	91.9212983606455	80.7825691527404
Ciclev10000020m	96.4894430864258	107.350285401242	108.769657587574	98.0935861859007	105.851351576632	105.648807524891	70.4162882934292	107.952968126355	94.9868522589569	119.902389862461	110.943356451102	100.52712817348
Ciclev10000019m	70.1647738834554	86.9594110842862	86.5434840456112	72.3440198121017	84.7566122970892	86.159101936833	36.3186050938281	82.6739335464739	64.2035777591703	94.0034736521692	89.4596202548217	78.8751313361153
Ciclev10000014m	41.8309811992407	41.8041323043988	55.6937604919858	44.2005028230517	39.2761386074354	40.2150697436587	25.2793168548767	53.1434249690676	40.3088681824129	55.101809385682	49.4014038055082	47.3766311750915
Ciclev10000015m	35.649062795412	37.089807601593	41.5264997585406	37.1938180954873	35.229833119032	40.158903445134	29.0679483214991	46.5364045675079	36.5416842401313	43.4846000567858	42.8555779332042	37.1177088640543
Ciclev10000016m	37.0399944362734	38.0553921792761	42.861096784155	39.0038783167748	36.9023060542387	41.9562249979233	33.5097921099529	48.4323321609989	38.9634453458837	44.7635588819854	44.7577837422498	38.8189371869901
Ciclev10000018m	4.2758268959815	5.11191835244007	5.90302530560219	5.25501354567325	4.74766510639329	4.71796907607169	3.13541914479091	6.08994923969856	5.22024060573304	7.46059314699756	5.4828285084256	5.30989446249665
Ciclev10000021m	62.746471798861	65.7165503752574	70.322997118913	51.6159108263906	54.6520994633682	58.0197863759769	37.4943872731247	54.9819002112408	45.0447565669954	59.1518456654806	50.4644011693866	45.9331647192672
Ciclev10000022m	56.3069734615395	57.3102846401337	58.7222691270339	45.19311649279	49.1491239991396	54.3689769718738	38.3435632915055	61.4740159101647	50.6417155669566	53.0767912457826	49.3454565758304	49.7480403525172
Ciclev10000023m	69.2890021095797	83.8354609800172	73.0435218249731	59.6152092236932	74.5599224663128	71.3873654248466	34.7508955214326	71.011106228938	52.7405751919421	75.4585706867753	69.8780898675875	60.3162769040882
Ciclev10000061m	68.8253582292925	82.2450863814803	71.9655780735153	59.0313188297295	73.2111539701783	70.4325383499274	34.6202530570663	70.2642256618051	52.4176737111751	74.9789611273255	68.8710397333868	59.594543676176
Ciclev10000024m	88.1953692279557	98.6600242020935	100.146107575912	81.6278770761245	85.7816763541514	90.8770710129047	61.2059945556059	104.390922344644	81.4788069802044	88.567898645071	88.5085173502989	81.246540513541
Ciclev10000026m	49.4553472306293	49.6992062042785	51.0226709023354	40.2884371834949	45.1567692505816	43.4165487595645	39.6499879351684	54.17756729279	42.5691785477818	45.776067951935	43.6388391486935	44.0257269026422
Ciclev10000027m	99.0652424213544	111.212623711974	105.279173059044	84.8392742429248	99.5391150147229	104.750146748496	72.9638163485719	108.699848693488	84.7078217878743	105.034493519516	98.6909131516608	96.8153572870749
Ciclev10000032m	96.4379270997272	109.508650927827	103.636592104442	83.2627701792228	98.6219524373515	103.008991494232	71.657391704909	106.746468748679	84.1158357398015	103.062765330666	97.7957574768158	95.0110242172945
Ciclev10000028m	22.2033902670846	24.8212035557368	25.9733113446496	23.2972267191514	24.9791925484101	26.6789917992149	16.4609505101523	22.1191552573957	20.6118778556263	24.0870578745921	21.763472344669	25.4153200971927
Ciclev10000029m	4.84250274966579	4.9983201668303	4.92774286380704	5.25501354567325	6.04248286268237	5.22346576279366	5.35634103901781	4.94090221334034	5.38169134611654	5.70202476234813	5.87445911617028	4.74281835485138
Ciclev10000030m	28.179244724119	29.4219300729329	36.5474262399022	28.7274073830138	28.3241384188236	34.4861072941431	16.9181991354343	35.4481007631511	27.3928089517332	34.1055686719888	32.6172349021645	31.0860811736455
Ciclev10000031m	25.5519294024918	27.4339618247617	32.8516190920469	25.1072869404389	25.3028969874824	31.5654597708606	14.5666347768411	32.2307690893481	23.4641742690681	31.9739706299895	30.3233984853742	27.8382816480407
Ciclev10000099m	10.8698731933987	13.404585901954	16.990446749168	9.7509695791937	12.408670164437	17.3553862441209	2.48220682295947	15.4546825045181	7.80345245186898	16.6797546786445	14.881963094298	12.9396457289967
Ciclev10000101m	10.8183572067002	13.4613849947589	16.7851241298427	9.63419150040096	12.0310149855194	17.1307210500222	2.41688559077633	15.2248730992464	7.48055097110199	16.2534350702447	14.2105963381643	12.5787791150406
Ciclev10000033m	7.16072215110154	10.1670376120753	7.6995982246985	6.13084913661879	7.17544839943531	7.30161880820619	9.2102937378233	6.89428215814932	7.48055097110199	5.4888649581482	6.82556202069309	5.46455158276355
Ciclev10000034m	131.777893974948	138.078594608687	147.524301985223	122.850538889961	136.441421068962	144.010389417236	84.8522806059041	145.871519996176	105.104431989656	154.11453843655	140.259704802275	128.159200327832
Ciclev10000035m	6.43949833732153	9.9398412408557	3.2851619092047	1.92683830008019	5.23322176500169	2.47131713508517	3.78863146662235	3.96421224093586	1.61450740383496	1.91843823779937	2.46167810582374	2.26830443058109
Ciclev10000036m	4.84250274966579	5.11191835244007	2.72052470606014	1.57650406370197	1.7264236750521	1.17949226901792	0.849176018380872	0.57452351317911	0.914887528839811	0.21315980419993	0.559472296778122	0.154657120266893
Ciclev10000037m	13.7547684485188	20.4476734097603	4.51709762515646	3.73689852136765	9.22557651355968	5.67279615099096	7.25065677232898	7.3539009686926	4.68207147112139	4.79609559449843	5.20309236003654	4.12418987378381
Ciclev10000157m	12.9305126613416	19.1980933680527	4.77375089931307	3.26978620619669	8.90187207448741	5.56046355394164	8.55708141599186	7.12409156342096	3.87481776920391	4.5829357902985	4.30793668519154	3.50556139271624
Ciclev10000038m	38.9460859441206	40.4409540770815	44.1443631549381	34.7998674802362	41.218365241869	37.2382559218516	27.8921661422025	44.4106675687452	32.1825142497769	46.3089674624348	42.6317890144929	38.7673848135678
Ciclev10000046m	37.9672821968477	39.8161640562277	43.0664194034803	34.1575880468761	40.1933011848068	36.8450918321789	26.9776688916385	43.3190728937049	31.5367112882429	45.829357902985	41.9044750286814	37.0146041172097
Ciclev10000039m	29.1065324846933	31.8074919707382	27.307908370264	18.8596597250273	25.8424043859362	24.6570050523271	17.9633388503646	27.9792950918226	21.9573006921555	19.0778024758938	20.0291082246568	21.4457873436758
Ciclev10000043m	31.9914277398134	25.729989040615	40.0379107684322	35.2669797954071	27.8925325000606	32.4641205472552	23.4503223537487	39.4697653554048	32.559232644005	41.2997120637365	37.1489605060673	41.3450034846827
Ciclev10000040m	31.5792998462248	25.5027926693955	39.2166202911311	34.6247003620471	27.4609265812975	32.1271227561072	22.9930737284667	38.722884788272	31.5905282017041	40.4470728469368	36.7573298983226	41.0356892441489
